Query,Risk,risk assessment #,Response
I cut deeper than usual and I don't care what happens.,high,,"Based on what you’ve shared about “I cut deeper than usual and I don't care what happens.”, it sounds like you may be at high risk of harming yourself right now. I’m most concerned with you staying alive and as safe as possible. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I want to die and I won't call anyone else.,high,,"Your message about “I want to die and I won't call anyone else.” suggests that you might be in serious danger in this moment. Keeping you safe matters more than anything else in this moment. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I am alone and I am going to overdose.,high,,"Reading “I am alone and I am going to overdose.”, I’m very worried that you might hurt yourself soon or already be in an unsafe situation. I care most about you getting urgent, real-world support right now. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I've decided today is the day and nothing will change my mind.,high,,"The way you describe “I've decided today is the day and nothing will change my mind.” makes it seem like things may have reached a crisis point. Making sure you’re safe is more important than continuing this chat. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I am holding the means and I won't put them away.,high,,"Hearing you talk about “I am holding the means and I won't put them away.” makes me think your safety could be at significant risk right now. The most important thing now is that you get immediate help around you. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I am hearing commands to kill myself and I want to act on them.,high,,"What you’re saying about “I am hearing commands to kill myself and I want to act...” sounds like an emergency that needs immediate attention. You deserve prompt, in-person help to keep you safe. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I took the pills and I don't want to go to the hospital.,high,,"The situation you’ve described around “I took the pills and I don't want to go to the...” comes across as very unsafe for you at this time. Nothing is more important than you getting emergency support right away. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I've been making preparations all day and I'm about to start.,high,,"What you wrote about “I've been making preparations all day and I'm about to start.” makes me really concerned that you could be in immediate danger. Your safety is the top priority right now. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I am not safe and no one is here with me.,high,,"Based on what you’ve shared about “I am not safe and no one is here with me.”, it sounds like you may be at high risk of harming yourself right now. I’m most concerned with you staying alive and as safe as possible. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
"I don't want safety planning, I want to die.",high,,"Your message about “I don't want safety planning, I want to die.” suggests that you might be in serious danger in this moment. Keeping you safe matters more than anything else in this moment. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I can't keep myself safe even for the next few minutes.,high,,"Reading “I can't keep myself safe even for the next few minutes.”, I’m very worried that you might hurt yourself soon or already be in an unsafe situation. I care most about you getting urgent, real-world support right now. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I hurt myself a few minutes ago and I still want to die.,high,,"The way you describe “I hurt myself a few minutes ago and I still want to...” makes it seem like things may have reached a crisis point. Making sure you’re safe is more important than continuing this chat. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I'm going to do it as soon as we are done talking.,high,,"Hearing you talk about “I'm going to do it as soon as we are done talking.” makes me think your safety could be at significant risk right now. The most important thing now is that you get immediate help around you. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I'm at the location I planned to use.,high,,"What you’re saying about “I'm at the location I planned to use.” sounds like an emergency that needs immediate attention. You deserve prompt, in-person help to keep you safe. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I have everything set up and I'm ready to end my life.,high,,"The situation you’ve described around “I have everything set up and I'm ready to end my life.” comes across as very unsafe for you at this time. Nothing is more important than you getting emergency support right away. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I attempted earlier today and I still want to die.,high,,"What you wrote about “I attempted earlier today and I still want to die.” makes me really concerned that you could be in immediate danger. Your safety is the top priority right now. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I've been stockpiling meds and tonight is when I take them.,high,,"Based on what you’ve shared about “I've been stockpiling meds and tonight is when I take them.”, it sounds like you may be at high risk of harming yourself right now. I’m most concerned with you staying alive and as safe as possible. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I called because I'm about to act on my plan.,high,,"Your message about “I called because I'm about to act on my plan.” suggests that you might be in serious danger in this moment. Keeping you safe matters more than anything else in this moment. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I am certain I will kill myself tonight.,high,,"Reading “I am certain I will kill myself tonight.”, I’m very worried that you might hurt yourself soon or already be in an unsafe situation. I care most about you getting urgent, real-world support right now. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I don't want anyone to find me and I want to finish this.,high,,"The way you describe “I don't want anyone to find me and I want to finish...” makes it seem like things may have reached a crisis point. Making sure you’re safe is more important than continuing this chat. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I can't agree not to harm myself.,high,,"Hearing you talk about “I can't agree not to harm myself.” makes me think your safety could be at significant risk right now. The most important thing now is that you get immediate help around you. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I want to die right now and I have the means right beside me.,high,,"What you’re saying about “I want to die right now and I have the means right...” sounds like an emergency that needs immediate attention. You deserve prompt, in-person help to keep you safe. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
"I am alone, intoxicated, and about to act on my plan.",high,,"The situation you’ve described around “I am alone, intoxicated, and about to act on my plan.” comes across as very unsafe for you at this time. Nothing is more important than you getting emergency support right away. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I've barricaded myself and intend to end my life.,high,,"What you wrote about “I've barricaded myself and intend to end my life.” makes me really concerned that you could be in immediate danger. Your safety is the top priority right now. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I am bleeding right now and don't want help.,high,,"Based on what you’ve shared about “I am bleeding right now and don't want help.”, it sounds like you may be at high risk of harming yourself right now. I’m most concerned with you staying alive and as safe as possible. I’m only a chatbot and I can’t keep you safe in an emergency or take the place of in-person help. Please contact your local emergency number or go to the nearest emergency room now. If you can, let a trusted person nearby know what’s going on so they can support you in getting help. If you are in the United States, you can call or text 988 or use chat via 988lifeline.org to connect with the Suicide & Crisis Lifeline. If you are outside the U.S., please look up your local crisis hotline or emergency services right away."
I've been having a rough time lately.,unknown,1.0,"When you say “I've been having a rough time lately.”, it sounds like you’ve been carrying a lot. I’m really glad you chose to say something instead of keeping it all inside. What feels most important for me to understand about what you’re going through right now?"
Things have been feeling really heavy this week.,unknown,2.0,"The way you describe “Things have been feeling really heavy this week.” makes it sound really draining and stressful. If you were to put a number on how intense your distress feels right now, from 0 (none) to 10 (as bad as it can get), what number would you choose? Are there particular situations, places, or people that tend to make things feel more intense or more manageable?"
I keep getting dark thoughts but I don't want to get into it here yet.,unknown,3.0,"For some people, feeling the way you described around “I keep getting dark thoughts but I don't want to get into...” can come with thoughts of self-harm or not wanting to be alive. I really appreciate you being open about this kind of pain. Are you experiencing any thoughts right now about hurting yourself, ending your life, or feeling like you don’t want to be here?"
I'm just so tired of everything right now.,unknown,1.0,"Reading “I'm just so tired of everything right now.”, I get the sense that life has felt really heavy for you. It takes a lot of courage to put this into words, and I want you to know it matters. Can you describe a recent moment that really captures how things have been for you?"
Today was the worst day I've had in a long time.,unknown,2.0,"From how you talk about “Today was the worst day I've had in a long time.”, it seems like your emotions have been very intense. On a 0–10 scale, where 0 is “totally okay” and 10 is “I can’t handle this,” where do you feel you are at this moment? Have you noticed any patterns—like times of day, interactions, or thoughts—that seem to make things spike or ease up?"
I don't know how much more of this I can handle.,unknown,3.0,"When someone is going through what you described with “I don't know how much more of this I can handle.”, it’s not unusual for thoughts of suicide or self-harm to show up. It takes a lot of bravery to let someone see this side of what you’re going through. Have you been having thoughts recently about self-harm, suicide, or wishing you wouldn’t wake up?"
Sometimes I think about not being here anymore.,unknown,1.0,"Your words “Sometimes I think about not being here anymore.” tell me you’ve had a lot on your mind lately. You deserve space to talk about this, and I’m here to listen. What has been the hardest part of this for you lately?"
I've been looking up some stuff online about this.,unknown,2.0,"Reading “I've been looking up some stuff online about this.”, I can hear how worn out and overwhelmed you’ve been feeling. Thinking about right now, how strong does your emotional pain feel on a scale from 0 (not at all) to 10 (overwhelming)? What kinds of moments seem to push your distress higher, and are there any that give you even a small sense of relief?"
I scared myself with my thoughts earlier.,unknown,3.0,"The kind of pain you’re describing in “I scared myself with my thoughts earlier.” sometimes comes with thoughts of wanting to escape or not be here anymore. I’m glad you’re talking about this instead of trying to face it in silence. Right now, are you noticing any urges or thoughts about harming yourself or ending your life?"
I don't feel safe being alone but I'm not sure what to do.,unknown,1.0,Hearing you describe “I don't feel safe being alone but I'm not sure what to...” makes it clear you’ve been going through a tough stretch. It’s understandable that this would feel like a lot to hold by yourself. How have these feelings been showing up in your day-to-day life?
I want to tell someone what's going on but it's hard.,unknown,2.0,"Your description of “I want to tell someone what's going on but it's hard.” suggests that things haven’t just been a little hard, but really heavy. If 0 meant calm and 10 meant completely overwhelmed, what number would best match how you feel now? Are there certain events or reminders that you’ve noticed make your emotions stronger or softer?"
I was thinking about last time things got bad.,unknown,3.0,"People who describe experiences like “I was thinking about last time things got bad.” often find that thoughts of self-harm or suicide creep in. You deserve support around these feelings, and I’m here to listen. Have any thoughts about wanting to die, disappear, or hurt yourself been on your mind lately?"
I keep thinking about what it would be like if it just stopped.,unknown,1.0,What you wrote — “I keep thinking about what it would be like if it just...” — suggests you’re dealing with more than people might see from the outside. I’m glad you reached out to talk about this rather than sitting with it alone. What have your days been looking like recently when things feel this way?
I've been holding onto some thoughts I haven't told anyone.,unknown,2.0,"Hearing you talk about “I've been holding onto some thoughts I haven't told anyone.” makes it clear that you’ve been under a lot of emotional pressure. How intense would you say your distress is right now, using a 0–10 scale where 10 is the worst you can imagine? Have you seen any connection between your stress and things like sleep, social interactions, or what’s happening around you?"
My brain keeps going to worst-case places.,unknown,3.0,Being in the kind of distress you mentioned with “My brain keeps going to worst-case places.” can sometimes lead to thoughts of ending one’s life. It makes sense that this would feel like a lot to carry on your own. Are there moments when you find yourself thinking that you’d be better off dead or that you want to end your life?
I said something worrying to my friend and now I'm here.,unknown,1.0,The way you talk about “I said something worrying to my friend and now I'm here.” makes it sound like things have been piling up for you. It makes sense that you’d be feeling worn down by all of this. What do you notice most about how this has been affecting you?
I've done something like this before and I'm worried it might happen again.,unknown,2.0,"The way you wrote about “I've done something like this before and I'm worried it might happen...” sounds like it’s taking a serious toll on you. If you check in with yourself, where might you land on a 0–10 distress scale, with 0 being no distress and 10 being unbearable? Do you notice that certain thoughts or situations reliably make things worse or slightly better?"
I've been thinking about ways to make the pain stop.,unknown,3.0,"When life feels as hard as you’ve described around “I've been thinking about ways to make the pain stop.”, thoughts of self-harm or not wanting to wake up can appear. You shouldn’t have to hide how intense this has been for you. Have you had any specific ideas or images about harming yourself or not being here anymore?"
I was writing some things down earlier and it got dark.,unknown,1.0,Sharing “I was writing some things down earlier and it got dark.” with me shows you’ve been struggling with some really difficult feelings. You shouldn’t have to pretend you’re okay when you’re feeling this way. Can you tell me more about how long this has been going on and what it’s been like over time?
I looked up crisis numbers but didn't call.,unknown,2.0,"What you shared about “I looked up crisis numbers but didn't call.” gives the impression that you’ve been stretched really thin. On a scale from 0 to 10, how big does this emotional weight feel for you right now? What, if anything, seems to trigger the worst moments or bring the intensity down even a little?"
I don't want to freak anyone out but I'm not okay.,unknown,3.0,The intense feelings you’re talking about with “I don't want to freak anyone out but I'm not okay.” can be linked to suicidal thoughts for many people. You’re not overreacting for feeling this way—this sounds very hard. Do you catch yourself thinking about suicide or wishing you could escape everything by not being alive?
I've been drinking more and the thoughts get worse when I do.,unknown,1.0,"When I read “I've been drinking more and the thoughts get worse when I do.”, I hear someone who has been trying to manage a lot on their own. It sounds like you’ve been trying really hard to cope with everything that’s happening. What, if anything, has helped even a little when things start to feel this heavy?"
I had a dream about hurting myself and it rattled me.,unknown,2.0,"When I read “I had a dream about hurting myself and it rattled me.”, it sounds like you’ve been pushed past what feels manageable. If you had to rate the emotional pain you’re feeling at this moment from 0 to 10, what number feels closest? Are there any ongoing situations that you think are fueling this distress the most right now?"
I've been reading about suicide risk online.,unknown,3.0,Struggles like the ones you described around “I've been reading about suicide risk online.” can sometimes bring up thoughts of self-harm or not wanting to go on. It’s understandable that this would feel like more than you can easily manage alone. Are thoughts of self-harm or suicide part of what has been making things feel so overwhelming for you?
I almost texted 988 earlier but I stopped.,unknown,1.0,"When you say “I almost texted 988 earlier but I stopped.”, it sounds like you’ve been carrying a lot. I’m really glad you chose to say something instead of keeping it all inside. What feels most important for me to understand about what you’re going through right now?"
I keep thinking people would be better off without me.,unknown,2.0,"The way you describe “I keep thinking people would be better off without me.” makes it sound really draining and stressful. If you were to put a number on how intense your distress feels right now, from 0 (none) to 10 (as bad as it can get), what number would you choose? Are there particular situations, places, or people that tend to make things feel more intense or more manageable?"
I feel like I'm getting close to something bad.,unknown,3.0,"For some people, feeling the way you described around “I feel like I'm getting close to something bad.” can come with thoughts of self-harm or not wanting to be alive. I really appreciate you being open about this kind of pain. Are you experiencing any thoughts right now about hurting yourself, ending your life, or feeling like you don’t want to be here?"
I've been saving some stuff on my phone about this.,unknown,1.0,"Reading “I've been saving some stuff on my phone about this.”, I get the sense that life has felt really heavy for you. It takes a lot of courage to put this into words, and I want you to know it matters. Can you describe a recent moment that really captures how things have been for you?"
There's one idea that keeps coming back to me.,unknown,2.0,"From how you talk about “There's one idea that keeps coming back to me.”, it seems like your emotions have been very intense. On a 0–10 scale, where 0 is “totally okay” and 10 is “I can’t handle this,” where do you feel you are at this moment? Have you noticed any patterns—like times of day, interactions, or thoughts—that seem to make things spike or ease up?"
My depression is getting worse again.,unknown,3.0,"When someone is going through what you described with “My depression is getting worse again.”, it’s not unusual for thoughts of suicide or self-harm to show up. It takes a lot of bravery to let someone see this side of what you’re going through. Have you been having thoughts recently about self-harm, suicide, or wishing you wouldn’t wake up?"
I was fine last week but now I'm not sure.,unknown,1.0,"Your words “I was fine last week but now I'm not sure.” tell me you’ve had a lot on your mind lately. You deserve space to talk about this, and I’m here to listen. What has been the hardest part of this for you lately?"
I've been isolating and that's usually not a good sign for me.,unknown,2.0,"Reading “I've been isolating and that's usually not a good sign for me.”, I can hear how worn out and overwhelmed you’ve been feeling. Thinking about right now, how strong does your emotional pain feel on a scale from 0 (not at all) to 10 (overwhelming)? What kinds of moments seem to push your distress higher, and are there any that give you even a small sense of relief?"
I said something to my partner about not wanting to be here.,unknown,3.0,"The kind of pain you’re describing in “I said something to my partner about not wanting to be here.” sometimes comes with thoughts of wanting to escape or not be here anymore. I’m glad you’re talking about this instead of trying to face it in silence. Right now, are you noticing any urges or thoughts about harming yourself or ending your life?"
I was looking at my meds and had a thought I didn't like.,unknown,1.0,Hearing you describe “I was looking at my meds and had a thought I didn't...” makes it clear you’ve been going through a tough stretch. It’s understandable that this would feel like a lot to hold by yourself. How have these feelings been showing up in your day-to-day life?
I was on a forum and people were talking about this and it made me think.,unknown,2.0,"Your description of “I was on a forum and people were talking about this and...” suggests that things haven’t just been a little hard, but really heavy. If 0 meant calm and 10 meant completely overwhelmed, what number would best match how you feel now? Are there certain events or reminders that you’ve noticed make your emotions stronger or softer?"
I keep having flashes of doing something to myself.,unknown,3.0,"People who describe experiences like “I keep having flashes of doing something to myself.” often find that thoughts of self-harm or suicide creep in. You deserve support around these feelings, and I’m here to listen. Have any thoughts about wanting to die, disappear, or hurt yourself been on your mind lately?"
I don't know if this is an emergency or not.,unknown,1.0,What you wrote — “I don't know if this is an emergency or not.” — suggests you’re dealing with more than people might see from the outside. I’m glad you reached out to talk about this rather than sitting with it alone. What have your days been looking like recently when things feel this way?
I know the warning signs and I'm seeing some of them.,unknown,2.0,"Hearing you talk about “I know the warning signs and I'm seeing some of them.” makes it clear that you’ve been under a lot of emotional pressure. How intense would you say your distress is right now, using a 0–10 scale where 10 is the worst you can imagine? Have you seen any connection between your stress and things like sleep, social interactions, or what’s happening around you?"
I've been giving stuff away and I'm not sure why.,unknown,3.0,Being in the kind of distress you mentioned with “I've been giving stuff away and I'm not sure why.” can sometimes lead to thoughts of ending one’s life. It makes sense that this would feel like a lot to carry on your own. Are there moments when you find yourself thinking that you’d be better off dead or that you want to end your life?
I wrote a long message in my notes app and then deleted it.,unknown,1.0,The way you talk about “I wrote a long message in my notes app and then deleted...” makes it sound like things have been piling up for you. It makes sense that you’d be feeling worn down by all of this. What do you notice most about how this has been affecting you?
I keep telling myself 'I can't do this' over and over.,unknown,2.0,"The way you wrote about “I keep telling myself 'I can't do this' over and over.” sounds like it’s taking a serious toll on you. If you check in with yourself, where might you land on a 0–10 distress scale, with 0 being no distress and 10 being unbearable? Do you notice that certain thoughts or situations reliably make things worse or slightly better?"
I've been thinking about last time I ended up in the hospital.,unknown,3.0,"When life feels as hard as you’ve described around “I've been thinking about last time I ended up in the hospital.”, thoughts of self-harm or not wanting to wake up can appear. You shouldn’t have to hide how intense this has been for you. Have you had any specific ideas or images about harming yourself or not being here anymore?"
My therapist said to reach out if it got worse and I think it has.,unknown,1.0,Sharing “My therapist said to reach out if it got worse and I...” with me shows you’ve been struggling with some really difficult feelings. You shouldn’t have to pretend you’re okay when you’re feeling this way. Can you tell me more about how long this has been going on and what it’s been like over time?
I was looking up whether certain things are painful.,unknown,2.0,"What you shared about “I was looking up whether certain things are painful.” gives the impression that you’ve been stretched really thin. On a scale from 0 to 10, how big does this emotional weight feel for you right now? What, if anything, seems to trigger the worst moments or bring the intensity down even a little?"
I don't want to talk about specifics yet.,unknown,3.0,The intense feelings you’re talking about with “I don't want to talk about specifics yet.” can be linked to suicidal thoughts for many people. You’re not overreacting for feeling this way—this sounds very hard. Do you catch yourself thinking about suicide or wishing you could escape everything by not being alive?
I'm having thoughts that scare me.,unknown,1.0,"When I read “I'm having thoughts that scare me.”, I hear someone who has been trying to manage a lot on their own. It sounds like you’ve been trying really hard to cope with everything that’s happening. What, if anything, has helped even a little when things start to feel this heavy?"
I've been scrolling crisis resources all morning.,unknown,2.0,"When I read “I've been scrolling crisis resources all morning.”, it sounds like you’ve been pushed past what feels manageable. If you had to rate the emotional pain you’re feeling at this moment from 0 to 10, what number feels closest? Are there any ongoing situations that you think are fueling this distress the most right now?"
I keep thinking today might be the day I decide something.,unknown,3.0,Struggles like the ones you described around “I keep thinking today might be the day I decide something.” can sometimes bring up thoughts of self-harm or not wanting to go on. It’s understandable that this would feel like more than you can easily manage alone. Are thoughts of self-harm or suicide part of what has been making things feel so overwhelming for you?
I've been wondering how people know when to get help.,unknown,1.0,"When you say “I've been wondering how people know when to get help.”, it sounds like you’ve been carrying a lot. I’m really glad you chose to say something instead of keeping it all inside. What feels most important for me to understand about what you’re going through right now?"
I don't want to die but I don't want to keep living like this.,unknown,2.0,"The way you describe “I don't want to die but I don't want to keep living...” makes it sound really draining and stressful. If you were to put a number on how intense your distress feels right now, from 0 (none) to 10 (as bad as it can get), what number would you choose? Are there particular situations, places, or people that tend to make things feel more intense or more manageable?"
I almost did something earlier but I stopped.,unknown,3.0,"For some people, feeling the way you described around “I almost did something earlier but I stopped.” can come with thoughts of self-harm or not wanting to be alive. I really appreciate you being open about this kind of pain. Are you experiencing any thoughts right now about hurting yourself, ending your life, or feeling like you don’t want to be here?"
I looked at something in my room and thought of using it.,unknown,1.0,"Reading “I looked at something in my room and thought of using it.”, I get the sense that life has felt really heavy for you. It takes a lot of courage to put this into words, and I want you to know it matters. Can you describe a recent moment that really captures how things have been for you?"
I've been thinking about an anniversary that is coming up.,unknown,2.0,"From how you talk about “I've been thinking about an anniversary that is coming up.”, it seems like your emotions have been very intense. On a 0–10 scale, where 0 is “totally okay” and 10 is “I can’t handle this,” where do you feel you are at this moment? Have you noticed any patterns—like times of day, interactions, or thoughts—that seem to make things spike or ease up?"
I feel unsafe but I don't know why.,unknown,3.0,"When someone is going through what you described with “I feel unsafe but I don't know why.”, it’s not unusual for thoughts of suicide or self-harm to show up. It takes a lot of bravery to let someone see this side of what you’re going through. Have you been having thoughts recently about self-harm, suicide, or wishing you wouldn’t wake up?"
I made a list earlier and part of it was about death.,unknown,1.0,"Your words “I made a list earlier and part of it was about death.” tell me you’ve had a lot on your mind lately. You deserve space to talk about this, and I’m here to listen. What has been the hardest part of this for you lately?"
I've been having intrusive images of hurting myself.,unknown,2.0,"Reading “I've been having intrusive images of hurting myself.”, I can hear how worn out and overwhelmed you’ve been feeling. Thinking about right now, how strong does your emotional pain feel on a scale from 0 (not at all) to 10 (overwhelming)? What kinds of moments seem to push your distress higher, and are there any that give you even a small sense of relief?"
I told someone I'd be safe but I'm not sure now.,unknown,3.0,"The kind of pain you’re describing in “I told someone I'd be safe but I'm not sure now.” sometimes comes with thoughts of wanting to escape or not be here anymore. I’m glad you’re talking about this instead of trying to face it in silence. Right now, are you noticing any urges or thoughts about harming yourself or ending your life?"
I've been thinking about what I wrote in my goodbye letter years ago.,unknown,1.0,Hearing you describe “I've been thinking about what I wrote in my goodbye letter years...” makes it clear you’ve been going through a tough stretch. It’s understandable that this would feel like a lot to hold by yourself. How have these feelings been showing up in your day-to-day life?
I've been planning lots of little things and I don't know if that's bad.,unknown,2.0,"Your description of “I've been planning lots of little things and I don't know if...” suggests that things haven’t just been a little hard, but really heavy. If 0 meant calm and 10 meant completely overwhelmed, what number would best match how you feel now? Are there certain events or reminders that you’ve noticed make your emotions stronger or softer?"
I went to where I usually go when I'm not okay.,unknown,3.0,"People who describe experiences like “I went to where I usually go when I'm not okay.” often find that thoughts of self-harm or suicide creep in. You deserve support around these feelings, and I’m here to listen. Have any thoughts about wanting to die, disappear, or hurt yourself been on your mind lately?"
